2024-10-22 18:57:44,975 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/week/2024-10-29/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:57:48,527 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/?tribe-bar-date=2024-10-29, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:57:52,169 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/2/?tribe-bar-date=2024-10-29, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:57:56,815 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?post_type=tribe_events&eventDisplay=day&paged=2&eventDate=2024-10-29, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:00,436 - Worker-0 - INFO - Downloaded https://ics.uci.edu/page/2/?post_type=tribe_events&eventDisplay=day&eventDate=2024-10-30, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:04,059 - Worker-0 - INFO - Downloaded https://ics.uci.edu/page/2/?post_type=tribe_events&eventDisplay=day&eventDate=2024-10-30&ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:07,601 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/2/?tribe-bar-date=2024-10-30, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:12,254 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?post_type=tribe_events&eventDisplay=day&paged=2&eventDate=2024-10-30, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:16,876 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/?tribe-bar-date=2024-10-30, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:17,538 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/2024-10-30, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:20,180 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/2024-10-30/?ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:23,721 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/?tribe-bar-date=2024-10-30&eventDisplay=past, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:27,366 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/2/?tribe-bar-date=2024-10-30&eventDisplay=past, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:32,009 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/3/?tribe-bar-date=2024-10-30&eventDisplay=past, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:36,657 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?post_type=tribe_events&eventDisplay=day&paged=3&eventDate=2024-10-30, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:40,275 - Worker-0 - INFO - Downloaded https://ics.uci.edu/page/3/?post_type=tribe_events&eventDisplay=day&eventDate=2024-10-30&ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:43,817 - Worker-0 - INFO - Downloaded https://ics.uci.edu/page/3/?post_type=tribe_events&eventDisplay=day&eventDate=2024-10-31, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:47,441 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/3/?tribe-bar-date=2024-10-31, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:52,092 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?post_type=tribe_events&eventDisplay=day&paged=3&eventDate=2024-10-31, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:55,706 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/2/?tribe-bar-date=2024-10-31, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:58:59,391 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/?tribe-bar-date=2024-10-31, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:04,031 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/?tribe-bar-date=2024-10-31&eventDisplay=past, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:07,666 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/2/?tribe-bar-date=2024-10-31&eventDisplay=past, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:12,309 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/3/?tribe-bar-date=2024-10-31&eventDisplay=past, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:15,955 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/4/?tribe-bar-date=2024-10-31&eventDisplay=past, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:19,618 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/4/?tribe-bar-date=2024-10-31, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:24,246 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?post_type=tribe_events&eventDisplay=day&paged=4&eventDate=2024-10-31, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:27,866 - Worker-0 - INFO - Downloaded https://ics.uci.edu/page/4/?post_type=tribe_events&eventDisplay=day&eventDate=2024-10-31, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:31,483 - Worker-0 - INFO - Downloaded https://ics.uci.edu/page/4/?post_type=tribe_events&eventDisplay=day&eventDate=2024-10-30, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:35,160 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/4/?tribe-bar-date=2024-10-30, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:39,784 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?post_type=tribe_events&eventDisplay=day&paged=4&eventDate=2024-10-30, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:43,394 - Worker-0 - INFO - Downloaded https://ics.uci.edu/page/4/?post_type=tribe_events&eventDisplay=day&eventDate=2024-10-30&ical=1, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:46,939 - Worker-0 - INFO - Downloaded https://ics.uci.edu/page/4/?post_type=tribe_events&eventDisplay=day&eventDate=2024-10-29, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:50,561 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/page/4/?tribe-bar-date=2024-10-29, status <200>, using cache ('styx.ics.uci.edu', 9004).
2024-10-22 18:59:55,192 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?post_type=tribe_events&eventDisplay=day&paged=4&eventDate=2024-10-29, status <200>, using cache ('styx.ics.uci.edu', 9004).
